*******************************************************************************
USER DATA                   {Unspecified by user}           Tue Jan-09 08:25:56
Local ID: -857755              (TLE ID = 57755)
 
Geocentric SGP4/SDP4 Two-Line Elements (TLEs):
 
1 57755U 23132B   23252.47459010  .00016163  00000-0  13242-2 0  9995
2 57755  19.2811  15.7079 5932567 357.3454   0.4824  4.18469261   302
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Jan  9 08:25:56 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-857755) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Sep-09 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Dec-09 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.240107.p240401
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-JAN-07. PREDICTS-> 2024-MAR-31
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460196.500000000, A.D. 2023-Sep-09 00:00:00.0000,  5.934090095864260E-01,  6.611966708517003E+03,  1.931536360282554E+01,  1.617821873775497E+01,  3.561966122447730E+02,  2.460196497085200E+06,  1.744344081119649E-02,  4.392934116682012E+00,  2.103116087925602E+01,  1.626196070353521E+04,  2.591195469855341E+04,  2.063813005109207E+04,
2460196.541666667, A.D. 2023-Sep-09 01:00:00.0000,  5.933087410113447E-01,  6.615729484963810E+03,  1.931019016417887E+01,  1.611796605366802E+01,  3.563030300244936E+02,  2.460196497086593E+06,  1.743500860476073E-02,  6.715474277858144E+01,  1.344689346727440E+02,  1.626720353276233E+04,  2.591867758056085E+04,  2.064811140395422E+04,
2460196.583333333, A.D. 2023-Sep-09 02:00:00.0000,  5.931482299848638E-01,  6.618829522023843E+03,  1.931493805297775E+01,  1.608836388307252E+01,  3.563551675659238E+02,  2.460196497075669E+06,  1.743307660185245E-02,  1.299228321320709E+02,  1.634855628945129E+02,  1.626840537470834E+04,  2.591798122739284E+04,  2.065039970981062E+04,
2460196.625000000, A.D. 2023-Sep-09 03:00:00.0000,  5.931073753395715E-01,  6.619543772865150E+03,  1.931610640987170E+01,  1.606383369066395E+01,  3.563918337604035E+02,  2.460196736075209E+06,  1.743288062100968E-02,  1.926984209080307E+02,  1.840380134526811E+02,  1.626852730100350E+04,  2.591751082914185E+04,  2.065063186207659E+04,
2460196.666666667, A.D. 2023-Sep-09 04:00:00.0000,  5.931964930521689E-01,  6.617928978937480E+03,  1.931442891024116E+01,  1.603981118376650E+01,  3.564300293460222E+02,  2.460196736061757E+06,  1.743353250795726E-02,  2.554731443742584E+02,  2.062805241432035E+02,  1.626812174897541E+04,  2.591831451901334E+04,  2.064985967908017E+04,
2460196.708333333, A.D. 2023-Sep-09 05:00:00.0000,  5.933798699295839E-01,  6.613824819131374E+03,  1.930741142864223E+01,  1.600580697077740E+01,  3.564969907410607E+02,  2.460196736053525E+06,  1.743796485164657E-02,  3.182356461333595E+02,  2.471648348795528E+02,  1.626536496849291E+04,  2.591690511785444E+04,  2.064461094300274E+04,
2460196.750000000, A.D. 2023-Sep-09 06:00:00.0000,  5.933816997690139E-01,  6.612352224370810E+03,  1.930593703165446E+01,  1.596565314800204E+01,  3.565880232535319E+02,  2.460196736059877E+06,  1.744367267414593E-02,  2.100962420270403E+01,  7.881992511399874E+01,  1.626181659953464E+04,  2.591128097469846E+04,  2.063785572711260E+04,
2460196.791666667, A.D. 2023-Sep-09 07:00:00.0000,  5.932569297459912E-01,  6.616720357627070E+03,  1.931161549127271E+01,  1.590702744378896E+01,  3.566897132543872E+02,  2.460196736057167E+06,  1.743442344893126E-02,  8.376648969688947E+01,  1.440941785613586E+02,  1.626756751748706E+04,  2.591841467734705E+04,  2.064880442158058E+04,
